Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
130,High Stretch Cider Denim Low Rise Solid Pocket Bootcut Jeans,Blue,Slim,Low Rise,Long,75% Cotton 20% Polyester 3% viscose 2% Elastane,Solid,Yes,School Daily Casual,Button Pocket Zipper,Flared Trousers,https://img1.shopcider.com/product/1723799825000-nCm6WE.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-solid-pocket-flared-jeans-112836726?style_id=2036447&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=112836726&shopPage=12&shopIndex=135&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B135&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=136&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQyLjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzIzNzk5ODI1MDAwLW5DbTZXRS5qcGciLCJzcHUiOjExMjgzNjcyNiwic3B1Q29kZSI6IkNEMjAyNDA2Mjk1MDQyMDdKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5NTY2MS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJhYmUwNmIxOC0yNDUzLTRhOTktOWMzZS1iZjA4NjNjZWJlNGQifQ%3D%3D&activityId=9324&activity_id=9324
131,Cider Denim Low Rise Barrel-leg Jeans,Blue,Oversized,Low Rise,Long,85% Cotton 15% Lyocell,Solid,Yes,Daily Casual,Button Zipper,Barrel-leg Trousers,https://img1.shopcider.com/product/1757507482000-zrpEAi.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-patchy-barrel-leg-trousers-114268241?style_id=2108782&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114268241&shopPage=12&shopIndex=136&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B136&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=137&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ5LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzM3Mzc2NTc5MDAwLWZyWkczUC5qcGciLCJzcHUiOjExNDI2ODI0MSwic3B1Q29kZSI6IkNEMjAyNDExMDY1NzU0MjFKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5NTY2MS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJhYmUwNmIxOC0yNDUzLTRhOTktOWMzZS1iZjA4NjNjZWJlNGQifQ%3D%3D&activityId=9324&activity_id=9324
132,Denim Mid Rise Cut Out Straight Leg Jeans,Blue,Oversized,Mid Rise,Long,85% Cotton 15% Polyester,Solid,Yes,Daily Casual,Cut Out,Straight Leg Trousers,https://img1.shopcider.com/product/1739330681000-RwMhtc.jpg,https://www.shopcider.com/goods/denim-mid-rise-cut-out-straight-leg-jeans-114412204?style_id=2127594&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114412204&shopPage=12&shopIndex=137&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B137&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=138&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOC4zMiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTczOTMzMDY4MTAwMC1Sd01odGMuanBnIiwic3B1IjoxMTQ0MTIyMDQsInNwdUNvZGUiOiJDRDIwMjQxMjA5NTg0OTE2Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTU2NjEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiYWJlMDZiMTgtMjQ1My00YTk5LTljM2UtYmYwODYzY2ViZTRkIn0%3D&activityId=9324&activity_id=9324
133,Denim Mid Rise Fire Embroidery Pocket Belted Straight Leg Jeans,Blue,Oversized,Mid Rise,Long,80% Cotton 20% Polyester,Solid,Yes,School Daily Casual,Belted Embroidery Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1724159333000-ixeDzy.jpg,https://www.shopcider.com/goods/denim-mid-rise-fire-pocket-oversized-jeans-113474958?style_id=2043835&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=113474958&shopPage=12&shopIndex=138&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B138&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=139&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjU0LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjo0My45Miwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTcyNTM1Njk0ODAwMC1kVHM2a1kuanBnIiwic3B1IjoxMTM0NzQ5NTgsInNwdUNvZGUiOiJDRDIwMjQwNzA1NTA3MjQ3Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTU2NjEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiYWJlMDZiMTgtMjQ1My00YTk5LTljM2UtYmYwODYzY2ViZTRkIn0%3D&activityId=9324&activity_id=9324
134,Cider Denim Low Rise Roll Hem Straight Leg Jeans,Navy,Regular,Low Rise,Long,35% Cotton 35% viscose 30% Polyester,Solid,Yes,Work,Pocket,Straight Leg Trousers,https://img1.shopcider.com/product/1741767143000-MGhssB.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-roll-hem-straight-leg-jeans-114368793?style_id=2123805&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114368793&shopPage=12&shopIndex=139&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B139&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=140&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjM3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNC4xMSwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTczNzU1MjU1NjAwMC1wRVhTYlouanBnIiwic3B1IjoxMTQzNjg3OTMsInNwdUNvZGUiOiJDRDIwMjQxMTA3NTc2MjkxSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTU2NjEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiYWJlMDZiMTgtMjQ1My00YTk5LTljM2UtYmYwODYzY2ViZTRkIn0%3D&activityId=9324&activity_id=9324
135,Cider Denim Mid Rise Baggy Jeans,Blue,Oversized,Mid Rise,Long,70% Cotton 16% Viscose 14% Polyester,Solid,Yes,Daily Casual,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1733208293000-jQBTFZ.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-wide-leg-jeans-114213120?style_id=2105481&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114213120&shopPage=12&shopIndex=143&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B143&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=144&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzQzNDgxNzY3MDAwLWZmQ2pURC5qcGciLCJzcHUiOjExNDIxMzEyMCwic3B1Q29kZSI6IkNEMjAyNDExMDg1NzY0NjZKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5NTY2MS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJhYmUwNmIxOC0yNDUzLTRhOTktOWMzZS1iZjA4NjNjZWJlNGQifQ%3D%3D&activityId=9324&activity_id=9324
136,Cider Denim Low Rise Baggy Jeans,Blue,Oversized,Low Rise,Long,60% Cotton 20% Polyester 20% recycled polyester,Solid,Yes,Daily Casual,Pocket Zipper,Wide Leg Trousers,https://img1.shopcider.com/product/1735046951000-ASQ6xc.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-wide-leg-trousers-114332265?style_id=2113164&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114332265&shopPage=12&shopIndex=144&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B144&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=145&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjo0My4xMSwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTczNzM3NzA2NTAwMC1ZUnNZQkouanBnIiwic3B1IjoxMTQzMzIyNjUsInNwdUNvZGUiOiJDRDIwMjQxMjAyNTgzMDYwSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTU2NjEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiYWJlMDZiMTgtMjQ1My00YTk5LTljM2UtYmYwODYzY2ViZTRkIn0%3D&activityId=9324&activity_id=9324
137,Stretch Denim Low Rise Ripped Two Tone Patchy Baggy Jeans,Multicolor,Oversized,Low Rise,Long,80% Cotton 20% Polyester; 85% Cotton 15% Polyester,Solid,Yes,Daily Casual,Ripped,Wide Leg Trousers,https://img1.shopcider.com/product/1739511909000-eH8GCW.jpg,https://www.shopcider.com/goods/denim-low-rise-ripped-patchy-wide-leg-jeans-114402834?style_id=2127654&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114402834&shopPage=12&shopIndex=147&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B147&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=148&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOC4zMiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTczOTUxMTkwOTAwMC1lSDhHQ1cuanBnIiwic3B1IjoxMTQ0MDI4MzQsInNwdUNvZGUiOiJDRDIwMjQxMjA5NTg0OTE1Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTU2NjEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiYWJlMDZiMTgtMjQ1My00YTk5LTljM2UtYmYwODYzY2ViZTRkIn0%3D&activityId=9324&activity_id=9324
139,Two Way Denim Low Rise Cargo Jeans,Black,Oversized,Low Rise,Long,80% Cotton 20% Polyester,Solid,Yes,Daily Casual,Button Pocket,Cargo,https://img1.shopcider.com/product/1758892225000-QktKm6.jpg,https://www.shopcider.com/goods/two-way-denim-low-rise-cargo-jeans-114948768?style_id=2209227&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114948768&shopPage=12&shopIndex=149&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B149&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=150&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzYwMTY5MTc3MDAwLWRjUUpKNC5qcGciLCJzcHUiOjExNDk0ODc2OCwic3B1Q29kZSI6IkNEMjAyNTA4MDQ2MzUyNzBKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5NzA5MS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MGVjYTU0MS03ZWViLTQ4OGQtOGNjZC03NzI0NDE0YWYxZGEifQ%3D%3D&activityId=9324&activity_id=9324
141,Denim Low Rise Pleated Wide Leg Jeans With Rope Belt,Navy,Oversized,Low Rise,Long,49% Cotton 31% Lyocell 20% Polyester,Solid,Yes,Daily Casual,Button Pocket Zipper,Wide Leg Trousers,https://img1.shopcider.com/product/1758549102000-jCDyQJ.jpg,https://www.shopcider.com/goods/denim-low-rise-wide-leg-trousers-with-belt-114941020?style_id=2206432&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114941020&shopPage=12&shopIndex=151&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B151&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=152&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjU0LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU4NTQ5MTAyMDAwLVBSenppQi5qcGciLCJzcHUiOjExNDk0MTAyMCwic3B1Q29kZSI6IkNEMjAyNTA3MDg2MjgzNDdKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5NzA5MS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MGVjYTU0MS03ZWViLTQ4OGQtOGNjZC03NzI0NDE0YWYxZGEifQ%3D%3D&activityId=9324&activity_id=9324
142,Cider Denim Low Rise Rhinestone Baggy Jeans,Blue,Oversized,Low Rise,Long,85% Cotton 15% Polyester,Solid,Yes,Music Festival/Live House,Rhinestone,Wide Leg Trousers,https://img1.shopcider.com/product/1748611284000-jSfAjZ.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-rhinestone-baggy-jeans-114657551?style_id=2166122&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114657551&shopPage=12&shopIndex=152&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B152&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=153&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoxOC45OSwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTc0ODYxMTI4NDAwMC1qU2ZBalouanBnIiwic3B1IjoxMTQ2NTc1NTEsInNwdUNvZGUiOiJDRDIwMjUwNDAxNjA4MTExSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTcwOTEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjBlY2E1NDEtN2VlYi00ODhkLThjY2QtNzcyNDQxNGFmMWRhIn0%3D&activityId=9324&activity_id=9324
143,Cider Denim Low Rise Patchy Raw Hem Straight Leg Jeans,Blue,Oversized,Low Rise,Long,92% Cotton 6% Viscose 2% Polyester,Solid,Yes,Daily Casual,Patched Raw Hem,Straight Leg Trousers,https://img1.shopcider.com/product/1733490303000-EzeQZX.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-patchy-raw-hem-straight-leg-trousers-114268139?style_id=2108759&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114268139&shopPage=12&shopIndex=153&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B153&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=154&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQ3LjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOC4zMiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTc0MzQ4MTM4MTAwMC0ybmFhTjYuanBnIiwic3B1IjoxMTQyNjgxMzksInNwdUNvZGUiOiJDRDIwMjQxMDMwNTcxNzMxSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTcwOTEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjBlY2E1NDEtN2VlYi00ODhkLThjY2QtNzcyNDQxNGFmMWRhIn0%3D&activityId=9324&activity_id=9324
144,High Stretch Denim Low Rise Split Flared Jeans,Blue,Regular,Low Rise,Long,65% Cotton 33% Polyester 2% Elastane,Solid,Yes,School,Patched Split,Flared Trousers,https://img1.shopcider.com/product/1731067197000-X67ise.jpg,https://www.shopcider.com/goods/denim-low-rise-patched-splited-high-stretch-flared-jeans-114109408?style_id=2093551&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114109408&shopPage=12&shopIndex=154&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B154&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=155&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQyLjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNC4zMiwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTczMTA2NzE5NzAwMC1YNjdpc2UuanBnIiwic3B1IjoxMTQxMDk0MDgsInNwdUNvZGUiOiJDRDIwMjQwOTEyNTUwNDA3Sk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTcwOTEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjBlY2E1NDEtN2VlYi00ODhkLThjY2QtNzcyNDQxNGFmMWRhIn0%3D&activityId=9324&activity_id=9324
145,Cider Denim Low Rise Drawstring Straight Leg Jeans,Blue,Regular,Low Rise,Long,85% Cotton 15% Polyester,Solid,Yes,Daily Casual,Drawstring Pocket,Straight Leg Trousers,https://img1.shopcider.com/product/1745926541000-MEcMAM.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-drawstring-straight-leg-jeans-114593037?style_id=2155039&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114593037&shopPage=12&shopIndex=155&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B155&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=156&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsIm9yaWdpbmFsUHJpY2UiOjQyLjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoxNC45OSwic2NlbmUiOiJCRVNUX1NFTExFUiIsInNrY0ZpcnN0SW1nIjoiMTc0NjYyMzM4NTAwMC01bjJkUGMuanBnIiwic3B1IjoxMTQ1OTMwMzcsInNwdUNvZGUiOiJDRDIwMjUwMjI0NTk4ODcxSk4iLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzY3OTcwOTEtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI1MDYxOkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjBlY2E1NDEtN2VlYi00ODhkLThjY2QtNzcyNDQxNGFmMWRhIn0%3D&activityId=9324&activity_id=9324
